ts_code,fut_code,list_date,delist_date
IF2001.CFX,IF,20191118,20200117
IF2002.CFX,IF,20191223,20200221
IF2003.CFX,IF,20190722,20200320
IF2004.CFX,IF,20200224,20200417
IF2005.CFX,IF,20200323,20200515
IF2006.CFX,IF,20191021,20200619
IF2007.CFX,IF,20200518,20200717
IF2008.CFX,IF,20200622,20200821
IF2009.CFX,IF,20200120,20200918
IF2010.CFX,IF,20200824,20201016
IF2011.CFX,IF,20200921,20201120
IF2012.CFX,IF,20200420,20201218
IF2101.CFX,IF,20201123,20210115
IF2102.CFX,IF,20201221,20210219
IF2103.CFX,IF,20200720,20210319
IF2104.CFX,IF,20210222,20210416
IF2105.CFX,IF,20210322,20210521
IF2106.CFX,IF,20201019,20210618
IF2107.CFX,IF,20210524,20210716
IF2108.CFX,IF,20210621,20210820
IF2109.CFX,IF,20210118,20210917
IF2110.CFX,IF,20210823,20211015
IF2111.CFX,IF,20210922,20211119
IF2112.CFX,IF,20210419,20211217
IF2201.CFX,IF,20211122,20220121
IF2202.CFX,IF,20211220,20220218
IF2203.CFX,IF,20210719,20220318
IF2204.CFX,IF,20220221,20220415
IF2205.CFX,IF,20220321,20220520
IF2206.CFX,IF,20211018,20220617
IF2207.CFX,IF,20220523,20220715
IF2208.CFX,IF,20220620,20220819
IF2209.CFX,IF,20220124,20220916
IF2210.CFX,IF,20220822,20221021
IF2211.CFX,IF,20220919,20221118
IF2212.CFX,IF,20220418,20221216
IF2301.CFX,IF,20221121,20230120
IF2302.CFX,IF,20221219,20230217
IF2303.CFX,IF,20220718,20230317
IF2304.CFX,IF,20230220,20230421
IF2305.CFX,IF,20230320,20230519
IF2306.CFX,IF,20221024,20230616
IF2307.CFX,IF,20230522,20230721
IF2308.CFX,IF,20230619,20230818
IF2309.CFX,IF,20230130,20230915
IF2310.CFX,IF,20230821,20231020
IF2311.CFX,IF,20230918,20231117
IF2312.CFX,IF,20230424,20231215
IF2403.CFX,IF,20230724,20240315
IF2406.CFX,IF,20231023,20240621
P2001.DCE,P,20190116,20200115
P2002.DCE,P,20190222,20200214
P2003.DCE,P,20190315,20200313
P2004.DCE,P,20190416,20200415
P2005.DCE,P,20190520,20200519
P2006.DCE,P,20190618,20200612
P2007.DCE,P,20190715,20200714
P2008.DCE,P,20190815,20200814
P2009.DCE,P,20190917,20200914
P2010.DCE,P,20191022,20201022
P2011.DCE,P,20191115,20201113
P2012.DCE,P,20191216,20201214
P2101.DCE,P,20200116,20210115
P2102.DCE,P,20200217,20210219
P2103.DCE,P,20200316,20210312
P2104.DCE,P,20200416,20210415
P2105.DCE,P,20200520,20210519
P2106.DCE,P,20200615,20210615
P2107.DCE,P,20200715,20210714
P2108.DCE,P,20200817,20210813
P2109.DCE,P,20200915,20210914
P2110.DCE,P,20201023,20211021
P2111.DCE,P,20201116,20211112
P2112.DCE,P,20201215,20211214
P2201.DCE,P,20210118,20220117
P2202.DCE,P,20210222,20220218
P2203.DCE,P,20210315,20220314
P2204.DCE,P,20210416,20220418
P2205.DCE,P,20210520,20220518
P2206.DCE,P,20210616,20220615
P2207.DCE,P,20210715,20220714
P2208.DCE,P,20210816,20220812
P2209.DCE,P,20210915,20220915
P2210.DCE,P,20211022,20221021
P2211.DCE,P,20211115,20221114
P2212.DCE,P,20211215,20221214
P2301.DCE,P,20220118,20230116
P2302.DCE,P,20220221,20230214
P2303.DCE,P,20220315,20230314
P2304.DCE,P,20220419,20230417
P2305.DCE,P,20220519,20230517
P2306.DCE,P,20220616,20230614
P2307.DCE,P,20220715,20230714
P2308.DCE,P,20220815,20230814
P2309.DCE,P,20220916,20230914
P2310.DCE,P,20221024,20231020
P2311.DCE,P,20221115,20231114
P2312.DCE,P,20221215,20231214
P2401.DCE,P,20230117,20240116
P2402.DCE,P,20230215,20240214
P2403.DCE,P,20230315,20240314
P2404.DCE,P,20230418,20240415
P2405.DCE,P,20230518,20240517
P2406.DCE,P,20230615,20240614
P2407.DCE,P,20230717,20240712
P2408.DCE,P,20230815,20240814
P2409.DCE,P,20230915,20240913
P2410.DCE,P,20231023,20241018
